Date,EGIE3,ITSA4,BBDC4,BBSE3
10/20/2015,27.360001,6.09192,13.4611,28.459999
10/21/2015,27.056,6.08371,13.4798,28.440001
10/22/2015,27.16,6.17402,13.6802,28.559999
10/23/2015,26.879999,6.13297,13.4924,28.450001
10/26/2015,27,6.04266,13.3922,28.280001
10/27/2015,27.128,5.9934,13.4485,27.639999
10/28/2015,27.096001,5.95235,14.0371,28.049999
10/29/2015,26.959999,5.86204,13.173,26.57
10/30/2015,27.096001,5.9113,13.148,26.6
11/3/2015,28.879999,6.16581,13.843,28.209999
11/4/2015,28.959999,6.20686,13.555,28.15
11/5/2015,29.007999,6.30538,13.9244,29.200001
11/6/2015,28.191999,6.1576,13.724,28.540001
11/9/2015,27.976,6.03445,13.4172,27.5
11/10/2015,27.84,6.03445,13.3484,28.040001
11/11/2015,28.16,6.16581,13.6739,27.860001
11/12/2015,28.408001,6.19865,13.6677,27.959999
11/13/2015,28.167999,6.0755,13.4673,27.49
11/16/2015,28.384001,6.11655,13.58,28.120001
11/17/2015,28.280001,6.20686,14.0871,28.200001
11/18/2015,29.040001,6.26433,14.1999,28.469999
11/19/2015,29.280001,6.36286,14.6506,29.200001
11/23/2015,29.120001,6.34644,14.5066,28.5
11/24/2015,28.384001,6.37107,14.4065,28.77
11/25/2015,27.92,6.06729,13.7052,28
11/26/2015,28.056,6.18223,14.0058,28.450001
11/27/2015,27.24,6.03445,13.4924,27.1
11/30/2015,26.768,5.95235,13.2231,25.969999
12/1/2015,26.879999,6.10013,13.148,26.690001
12/2/2015,27.007999,5.9934,13.1292,26.1
12/3/2015,27.4,6.2397,13.7052,28.299999
12/4/2015,27.200001,6.17402,13.5174,26.92
12/7/2015,27.16,6.10834,13.3797,27.549999
12/8/2015,26.84,6.06729,13.0854,26.5
12/9/2015,27.896,6.37107,13.7428,28.5
12/10/2015,27.408001,6.25612,13.148,28.049999
12/11/2015,28,6.21507,13.0353,28.1
12/14/2015,27.416,6.02624,12.8037,27.74
12/15/2015,27.08,6.05908,13.004,26.73
12/16/2015,26.879999,6.01803,13.1167,27.049999
12/17/2015,27.120001,6.16581,12.86,27.24
12/18/2015,26.768,5.87025,12.3028,25.25
12/21/2015,26.087999,5.76352,11.9459,24.629999
12/22/2015,26.68,5.78815,12.0523,24.459999
12/23/2015,26.84,5.7471,12.1463,24.83
12/28/2015,27.200001,5.73068,12.2652,24.360001
12/29/2015,27.040001,5.73068,12.3278,24.1
12/30/2015,26.792,5.64857,12.0711,24.33
1/4/2016,26.128,5.41869,11.8958,22.83
1/5/2016,26.440001,5.509,11.9271,24.290001
1/6/2016,26.048,5.55826,11.7581,24.1
1/7/2016,25.440001,5.47616,11.5202,23.15
1/8/2016,25.08,5.47616,11.2948,23.59
1/11/2016,25.120001,5.41048,10.9755,22.85
1/12/2016,25.208,5.3448,10.9129,23.23
1/13/2016,25.08,5.36122,10.7563,23.040001
1/14/2016,24.6,5.38585,11.0819,23.799999
1/15/2016,23.799999,5.29554,10.8001,22.799999
1/18/2016,24.007999,5.27091,10.7062,22.25
1/19/2016,24.32,5.21344,10.7814,22.690001
1/20/2016,24.176001,5.15597,10.8064,22.940001
1/21/2016,24.16,5.17239,10.6499,21.719999
1/22/2016,24.639999,5.25449,10.869,21.98
1/26/2016,24.719999,5.33659,10.7438,21
1/27/2016,25.08,5.3448,10.8753,21.059999
1/28/2016,25.6,5.45974,10.8941,21.75
1/29/2016,27.072001,5.64857,11.3636,23.129999
2/1/2016,27.087999,5.68141,11.6579,23.5
2/2/2016,26.408001,5.21344,11.1758,22.5
2/3/2016,26.424,5.48437,11.7142,23.07
2/4/2016,27.152,5.57468,12.3529,23.440001
2/5/2016,27.056,5.56647,12.2276,24
2/10/2016,27.200001,5.57468,12.3654,24
2/11/2016,27.200001,5.45153,12.0461,23.1
2/12/2016,26.944,5.45974,12.0836,23.1
2/15/2016,27.040001,5.46795,12.0836,23.51
